time,ax,ay,az,gx,gy,gz
1,0.022,0.036,-1.009,-1.038,-0.305,0.336
2,-0.004,0.000,-1.008,-0.626,-0.298,0.328
3,-0.018,-0.018,-0.991,-1.328,0.145,0.198
4,0.000,-0.000,-1.014,-0.725,0.351,0.633
5,0.016,0.001,-1.004,-1.198,-0.298,0.107
6,0.006,0.018,-0.998,-0.580,0.046,1.015
7,0.007,-0.021,-0.989,-1.381,-0.343,0.931
8,0.027,0.081,-1.260,-6.493,-0.511,6.210
9,0.216,0.061,-0.927,31.235,107.986,36.057
10,0.200,-0.090,-1.002,2.525,-42.473,-24.353
11,-0.055,-0.266,-1.013,17.242,4.959,24.452
12,-0.011,-0.105,-0.915,4.562,-10.399,6.447
13,-0.099,-0.341,-0.910,4.936,-0.809,-3.174
14,0.016,-0.204,-0.694,-11.627,-9.338,0.320
15,-0.061,-0.069,-0.956,-3.784,3.624,7.942
16,-0.032,0.045,-0.977,-21.996,-0.282,14.542
17,-0.138,-0.088,-1.068,3.784,-9.506,-1.404
18,-0.087,-0.110,-1.036,-1.541,9.598,-5.646
19,0.013,0.083,-0.999,-14.465,-6.500,16.716
20,-0.153,-0.101,-0.927,-0.549,-0.885,1.625
21,-0.034,0.027,-1.058,-4.723,54.192,6.958
22,0.004,0.050,-0.994,-1.038,-0.069,0.412
23,0.038,0.024,-1.009,-1.297,-0.053,-0.023
24,0.014,0.017,-0.984,-1.190,-0.008,0.214
25,0.002,0.036,-1.002,-0.687,-0.366,0.511
26,0.019,-0.005,-0.998,-0.755,0.381,-0.214
27,0.019,-0.007,-0.999,-1.472,-0.183,0.893
28,0.000,0.012,-0.987,-1.137,-0.015,0.175
29,-0.015,0.020,-1.000,-0.519,-0.397,0.183
30,-0.021,-0.015,-1.046,-7.645,5.821,-19.119
31,-0.061,-0.038,-1.042,5.798,-2.892,1.381
32,-0.040,-0.115,-1.011,5.943,5.348,-2.480
33,-0.006,-0.046,-0.936,4.211,3.143,-2.701
34,-0.021,-0.085,-1.004,4.593,-2.731,-5.028
35,0.008,-0.084,-0.943,9.506,0.275,1.564
36,-0.025,-0.121,-0.907,-12.711,-6.996,8.522
37,0.017,-0.000,-0.989,-15.930,0.320,5.074
38,0.004,0.035,-1.080,-3.662,6.752,1.274
39,-0.019,0.022,-1.042,2.640,-5.417,-9.705
40,0.012,0.012,-1.091,-9.064,-12.169,-5.959
41,-0.090,0.057,-0.965,5.104,-8.759,-1.152
42,-0.004,-0.007,-0.995,8.392,4.860,7.744
43,-0.003,0.031,-0.996,-1.114,-0.519,0.137
44,-0.026,-0.008,-0.988,-2.296,2.159,0.244
45,0.006,-0.011,-1.010,-0.580,-1.114,12.154
46,0.009,-0.007,-1.009,-1.007,-0.755,-0.290
47,0.056,0.006,-1.002,-0.580,0.290,-0.862
48,0.020,0.037,-0.990,-0.282,0.122,1.213
49,0.006,-0.040,-1.018,2.472,-1.213,-1.198
50,-0.051,0.016,-1.018,-0.832,5.981,3.853
51,0.033,0.045,-1.007,4.089,13.130,-7.080
52,0.042,0.021,-1.015,-11.803,-9.895,0.687
53,0.014,0.035,-1.006,-1.854,10.391,3.281
54,0.055,0.023,-0.973,-0.587,-5.241,-2.167
55,0.031,0.041,-0.993,-6.607,21.431,2.113
56,0.010,0.035,-1.066,-13.863,-13.382,-5.753
57,-0.032,0.051,-1.044,0.786,-5.974,-2.159
58,-0.044,0.072,-0.981,4.883,-21.126,-1.816
59,-0.118,0.007,-1.017,2.380,2.686,-0.603
60,-0.107,-0.050,-1.007,10.429,14.633,-5.310
61,0.005,0.039,-0.982,-0.244,0.191,0.618
62,-0.009,0.016,-0.995,-1.694,0.214,-0.397
63,0.001,0.039,-1.014,-0.603,0.107,0.130
64,0.029,0.021,-1.013,-1.160,-0.153,-0.366
65,-0.184,-0.154,-1.012,0.145,-2.594,1.945
66,0.004
