time,ax,ay,az,gx,gy,gz
1,-0.026,-0.018,-1.000,-0.381,-0.847,0.175
2,-0.012,-0.019,-0.992,0.732,0.191,0.061
3,-0.011,-0.015,-0.991,-0.168,-0.435,-0.725
4,-0.047,0.005,-0.979,-0.641,-0.275,-0.282
5,0.016,-0.002,-0.994,0.984,0.526,-0.351
6,0.001,0.032,-0.990,-0.511,-0.252,-0.343
7,-0.008,0.016,-0.993,-0.343,0.107,-0.275
8,0.011,0.001,-0.977,-0.229,0.076,-0.481
9,0.012,0.016,-0.959,-0.565,-0.160,0.351
10,0.017,-0.005,-0.989,0.153,-0.511,-1.503
11,0.008,-0.006,-0.993,0.587,0.069,0.259
12,0.009,0.000,-0.979,-0.893,-0.381,0.206
13,-0.036,0.011,-1.001,0.122,-0.366,-0.450
14,-0.037,-0.016,-0.985,-0.191,-0.443,0.275
15,-0.032,0.008,-1.009,0.374,-0.099,-0.275
16,-0.022,0.005,-1.006,-0.069,0.076,0.328
17,-0.002,-0.034,-0.995,-0.229,0.076,-0.290
18,0.012,-0.045,-0.997,0.343,-0.267,-0.717
19,-0.006,0.008,-0.990,-0.259,-0.031,-0.526
20,-0.017,0.004,-0.999,0.092,-0.259,-0.488
21,-0.928,-0.325,-2.161,-41.260,243.080,101.700
22,-0.123,-0.101,0.253,7.912,73.746,50.613
23,0.053,-0.163,-0.879,-27.145,-9.544,3.464
24,0.073,-0.149,-0.971,4.753,0.504,2.922
25,0.018,-0.036,-0.934,-0.214,-3.670,-8.430
26,-0.076,-0.171,-0.949,-5.569,-25.246,-3.731
27,-0.071,-0.008,-1.009,2.655,1.282,0.198
28,-0.112,0.040,-0.922,10.803,-2.251,-3.998
29,0.004,-0.013,-0.983,-0.717,-0.160,-0.763
30,-0.025,0.022,-0.990,-0.343,-0.366,0.381
31,0.015,-0.014,-0.991,-0.175,-0.763,-1.511
32,-0.039,0.018,-0.994,0.053,0.114,-0.252
33,0.001,-0.001,-0.976,0.099,0.122,-0.900
34,0.022,0.013,-1.004,-0.305,-0.290,-0.732
35,0.023,-0.010,-0.976,-1.053,-0.565,-0.153
36,0.002,0.027,-0.991,-0.130,-0.786,-0.923
37,-0.072,0.025,-0.977,-0.099,0.183,2.609
38,-0.019,-0.016,-0.983,-0.099,0.153,0.771
39,-0.015,0.028,-1.010,-0.381,-0.427,-0.397
40,-0.027,0.009,-1.003,-0.343,-0.015,0.252
41,-0.033,-0.016,-1.005,0.252,0.099,-0.275
42,-0.025,-0.014,-0.990,0.229,-0.214,-0.275
43,0.004,0.012,-1.006,-0.343,0.069,0.031
44,-0.006,-0.008,-0.987,0.710,-0.526,-0.290
45,-0.019,0.010,-0.982,0.084,-0.755,0.130
46,-0.028,-0.016,-1.001,-0.381,-0.336,0.366
47,-0.018,-0.013,-1.005,-0.412,0.023,-0.282
48,-0.025,0.026,-1.006,-0.168,0.076,0.015
49,-0.008,0.024,-0.993,-0.877,-0.259,0.275
50,-0.031,0.018,-1.000,-0.847,-0.122,-0.572
51,0.005,0.040,-0.988,-0.366,-0.198,-0.145
52,-0.090,-0.093,-0.991,0.107,-1.549,-33.844
53,-0.652,0.924,1.713,163.376,139.732,59.639
54,0.155,-0.210,-1.071,2.113,-16.945,-10.796
55,-0.114,-0.040,-1.007,-9.903,-8.911,-5.386
56,-0.106,-0.041,-0.977,-0.549,6.920,-9.941
57,-0.018,-0.002,-0.991,-0.183,0.252,-0.153
58,0.002,0.012,-1.014,-1.320,0.999,5.959
59,-0.052,0.010,-0.993,0.244,-0.061,-0.359
60,0.005,-0.019,-0.979,-0.282,-0.343,-0.679
61,-0.016,0.023,-1.014,-0.229,0.015,0.114
62,-0.004,-0.030,-1.003,-0.549,-0.488,-1.038
63,-0.025,-0.003,-0.987,-0.389,0.000,-0.275
64,-0.015,-0.026,-0.976,-0.206,-0.465,-0.023
65,-0.026,0.022,-1.008,0.656,-0.130,-0.206
66,-0.011,0.026,-1.010,-0.572,-0.320,-0.694
67,-0.015,-0.028,-0.990,0.069,-0.366,-0.641
68,-0.010,-0.003,-0.993,-0.153,-0.694,-0.275
69,-0.006,-0.004,-1.011,-0.908,-0.542,-0.603
70,-0.012,0.006,-0.994,-0.908,0.237,-0.046
71,-0.012,0.018,-0.982,-0.854,-0.168,0.237
72,-0.354,0.237,-1.081,-1.549,-16.655,25.627
73,0.034,-0.086,-0.033,61.729,13.390,33.424
74,0.344,-0.275,-1.134,-31.212,35.889,-10.605
75,0.151,-0.219,-0.911,-31.708,0.694,7.568
76,0.106,-0.224,-1.011,-33.180,-29.434,8.499
77,0.128,0.035,-1.156,-7.416,-6.027,2.075
78,-0.103,0.058,-0.884,9.605,-8.347,-3.929
79,-0.021,0.001,-0.995,2.373,16.090,-0.862
80,0.012,-0.003,-1.002,-1.137,0.381,-0.465
81,-0.020,-0.020,-0.992,0.282,0.473,-0.542
82,0.009,-0.005,-0.992,0.038,-0.542,-0.542
83,-0.029,-0.004,-0.992,-0.282,-0.130,0.298
84,-0.046,0.004,-0.991,0.031,-0.618,0.160
85,-0.006,0.018,-0.999,0.229,0.175,-0.793
86,0.001,-0.012,-0.991,-0.618,-0.435,0.015
87,0.008,0.007,-0.965,-0.420,-0.420,-0.526
88,-0.010,-0.020,-0.975,-0.603,-0.267,-0.069
89,0.012,-0.011,-0.995,-0.092,-0.061,-0.496
90,-0.031,-0.019,-1.007,-0.511,-0.656,0.824
91,-0.007,-0.004,-1.001,0.542,-0.214,-1.083
92,-0.004,-0.001,-1.011,-0.824,0.282,-0.046
93,-0.010,-0.001,-1.005,-1.221,0.389,-0.221
94,-0.280,-0.067,-1.180,26.482,-22.095,-44.693
95,-0.047,-0.317,-0.390,72.701,11.444,-19.531
96,0.302,-0.072,-1.128,2.373,-16.304,10.048
97,0.178,-0.195,-0.887,0.877,0.221,-3.098
98,0.116,-0.382,-0.945,-3.830,3.067,-2.045
99,-0.208,0.209,1.224,-5.714,-24.765,69.145
100,-0.247,-0.095,-0.576,-4.883,2.769,27.397
101,0.071,0.019,-0.977,-0.122,0.656,5.775
102,-0.032,-0.006,-0.974,-0.023,-0.046,0.130
103,-0.019,-0.006,-1.013,0.023,0.542,-0.465
104,-0.004,0.008,-0.980,0.526,0.259,-0.603
105,0.024,0.013,-0.982,0.214,0.053,0.084
106,0.016,0.020,-1.003,-0.359,-0.717,-0.526
107,-0.010,0.005,-0.991,-0.633,-0.069,0.008
108,0.035,0.007,-0.992,-0.519,-1.030,-42.755
109,0.000,-0.045,-0.986,-0.809,-0.832,-1.038
110,-0.033,-0.008,-0.996,0.427,0.229,-0.084
111,0.002,-0.010,-0.974,-0.732,-0.191,-0.298
112,0.010,0.000,-1.003,0.389,-0.145,-0.351
113,-0.005,0.011,-1.002,-1.106,-0.587,0.267
114,-0.019,0.004,-0.991,-0.679,0.381,-0.412
115,-0.025,0.015,-0.990,-0.114,-0.320,-0.053
116,-0.006,0.027,-0.996,0.084,-0.069,-0.214
117,-0.015,0.013,-1.005,0.221,0.565,-0.320
118,-0.028
