time,ax,ay,az,gx,gy,gz
1,0.010,-0.001,-1.005,-0.946,0.069,0.549
2,-0.003,0.006,-1.009,-0.992,-0.648,0.366
3,-0.004,0.001,-1.000,-0.496,0.305,0.938
4,0.017,-0.013,-1.013,-0.145,0.542,0.061
5,-0.002,0.009,-0.995,0.366,0.183,0.443
6,0.041,-0.036,-1.015,-0.389,0.320,0.267
7,-0.001,0.002,-1.015,-0.198,0.427,0.435
8,0.013,-0.017,-1.004,0.732,0.587,0.130
9,0.033,0.011,-1.022,-1.236,0.107,0.343
10,0.036,0.004,-0.994,-0.526,0.519,-0.008
11,0.019,-0.007,-1.004,-0.793,0.099,0.809
12,0.039,-0.008,-1.001,0.221,0.504,0.656
13,0.021,0.017,-0.981,-0.259,0.320,0.389
14,0.019,-0.005,-0.994,-0.244,0.618,0.748
15,0.022,-0.021,-1.012,-0.572,0.443,0.061
16,0.016,0.015,-1.025,-0.763,-0.465,0.351
17,0.051,0.024,-1.002,-1.236,0.031,0.198
18,0.040,-0.004,-1.006,-0.389,0.488,0.641
19,0.024,-0.019,-0.973,-0.092,0.153,0.916
20,0.009,-0.018,-1.010,-0.420,0.450,-0.053
21,0.033,0.008,-1.014,-1.106,0.565,0.786
22,0.017,-0.012,-0.985,-0.671,0.473,0.816
23,0.017,0.008,-1.007,0.412,-0.160,0.282
24,0.033,-0.002,-1.010,-0.343,0.305,0.664
25,-0.003,0.031,-0.992,-0.282,0.374,0.671
26,0.039,0.002,-1.019,-0.023,-0.008,1.068
27,-0.025,-0.025,-1.003,-0.320,1.053,0.748
28,0.033,0.025,-1.003,-1.007,0.488,0.397
29,0.000,-0.008,-1.006,0.153,-0.076,0.534
30,-0.002,-0.010,-0.985,-0.481,0.053,0.381
31,0.026,0.053,-1.010,-1.213,0.420,0.694
32,0.031,0.016,-0.987,-0.504,0.320,-0.267
33,0.038,-0.003,-1.002,-1.114,-0.023,0.046
34,-0.007,0.012,-1.010,-1.167,0.282,0.496
35,0.031,-0.019,-0.998,-1.198,0.252,0.359
36,0.033,-0.012,-0.986,-0.565,-0.145,0.076
37,-0.014,-0.014,-0.995,-1.060,0.252,1.274
38,0.002,-0.049,-1.007,-0.427,0.183,0.465
39,0.012,0.010,-1.004,-0.557,0.374,0.359
40,0.017,0.002,-1.004,0.412,0.374,0.267
41,-0.017,0.014,-1.006,-0.519,0.313,0.595
42,0.026,-0.001,-0.995,-0.641,0.137,0.832
43,0.013,0.005,-1.005,-0.381,0.252,0.580
44,0.011,0.008,-0.981,-0.244,-0.122,0.450
45,0.071,0.003,-1.000,-0.862,0.465,0.031
46,0.001,-0.024,-1.004,-0.641,0.282,0.893
47,0.004,-0.010,-1.008,-0.290,0.183,0.282
48,0.052,-0.004,-1.014,-0.557,0.275,0.198
49,0.014,-0.010,-1.010,-0.771,-0.015,1.045
50,0.044,-0.003,-1.024,-1.198,0.092,0.908
51,0.022,-0.014,-1.004,-0.977,0.198,0.351
52,-0.012,0.011,-1.016,-0.427,-0.206,0.702
53,0.012,0.000,-1.000,-0.725,0.107,0.511
54,0.000,-0.020,-0.993,-0.305,0.610,0.618
55,0.005,0.030,-0.978,-0.610,-0.526,0.824
56,0.026,-0.005,-1.014,-0.648,0.038,0.702
57,0.031,0.008,-0.991,-0.694,0.603,0.755
58,-0.008,0.008,-0.995,0.465,0.153,0.809
59,0.011,0.007,-1.018,-0.839,0.847,0.397
60,0.007,-0.002,-1.007,0.435,0.351,0.069
61,-0.013,0.000,-0.995,0.290,0.633,0.
